"photographer","contribution count"
"Seyve Cristofoli, Martine","1"

"Silvestre","1"

"Smerke, Marjan","1"

"Spencer Museum of Art, University of Kansas","1"

"Stabilimento fotografico A. Tancredi","1"

"Steensma, P.","1"

"Steiner & Schroff","1"

"Stepanek, Rudolf","1"

"Sterling and Francine Clark Art Institute","1"

"Stern, Grete","1"

"Studio Calzolari","1"

"Studio CiGi 1","1"

"Studio Guy","1"

"Studio Vaiani","1"

"St�delsches Kunstinstitut und St�dtische Galerie Frankfurt","1"

"St�dtische Kunstsammlungen Augsburg","1"

"Tabah, Henri","1"

"Taddei, Marzio","1"

"The Fitzwilliam Museum","1"

"The Hyde Collection","1"

"The Lyman Allyn Museum","1"

"The Museum of Fine Arts","1"

"The Sensor Studios","1"

"Thomas, J.W.","1"

"Tiozzo","1"

"Todd-White","1"

"Tokarski, George","1"

"Toma, Claudio","1"

"Trapani","1"

"Trentani, Luigi","1"

"Trevisio, E.","1"

"Umberto Allemandi & C.","1"

"Unione Tipografica Cooperativa","1"

"University of Arizona Art Gallery","1"

"Universit� di Catania: Istituto di Storia dell'Arte","1"

"Ursini, Federico","1"

"Vanadio","1"

"Verde O., Jos�","1"

"Verdoni, Carlo","1"

"Vincent, Henry","1"

"Visual Aids Department University of Melbourne","1"

"Waldemar, Jerke","1"

"Wills, R.F.","1"

"Wright-Watson, Rodney","1"

"York City Art Gallery","1"

"Zafrir, I.","1"

"Zerla, Walter","1"

