"photographer","contribution count"
"Annan","12"

"Borchi","12"

"Brammer, H.","12"

"Frick Collection","12"

"Negri","12"

"Pettinger, K.","12"

"Van Diemen-Lilienfeld Galleries","12"

"Archivio Fotografico Luce","11"

"Brooklyn Museum of Art","11"

"Conger, M. N.","11"

"Istituto Centrale di Patologia del Libro: Fototeca","11"

"Istituto Superiore per la Conservazione ed il Restauro: Archivio fotografico","11"

"Mansell, W. F.","11"

"National Gallery of Canada","11"

"Rheinisches Bildarchiv","11"

"Ufficio fotografico della Soprintendenza per i beni storici, artistici ed etnoantropologici per le province di Modena e Reggio Emilia","11"

"Baldassari, Marco","10"

"Bombelli, Girolamo","10"

"Cross Photos","10"

"Giacomelli","10"

"Gibbs","10"

"Lucenti Foto Ottica","10"

"Manzotti, Fratelli","10"

"Puterbaugh, Rollyn","10"

"San Diego Museum of Art","10"

"Schaeffer Galleries","10"

"Steinkopf, Walter","10"

"The Minneapolis Institute of Arts","10"

"C.N.B.","9"

"Como, Michele","9"

"Editorial Photo","9"

"Fototeca della Soprintendenza per beni architettonici e paesaggistici, storici, artistici ed etnoantropologici per le province di Pisa e Livorno","9"

"Fototecnica Bolognese","9"

"Gamberoni, Silvio","9"

"Guazzi, Carlo","9"

"Hauser y Menet","9"

"Interfoto","9"

"Mignini, Ettore","9"

"Musei Civici di Pesaro","9"

"Muzeum Narodowe w Warszawie","9"

"Rossi, Zoe","9"

"Sereni, Michele Alberto","9"

"The Baltimore Museum of Art","9"

"Video - Roma","9"

"Bardazzi Fotografia","8"

"Benedik, Valentin","8"

"Ehrich Galleries","8"

"Filippi, Tomaso","8"

"Giovara","8"

"Gray, R.","8"

"Jones, Bruce C.","8"

"Poliak, I.","8"

"Sotheby Parke-Bernet","8"

"Sz�pm�v�szeti M�zeum Budapest","8"

"The Fine Arts Museums of San Francisco","8"

"The Snite Museum of Art","8"

"Vaering","8"

"Vajenti","8"

"Walker Art Center","8"

"Walker Art Gallery","8"

"Allen Memorial Art Museum","7"

"Alterocca","7"

"Arceci, Mauro","7"

"Archivio fotografico della Soprintendenza per i beni storici, artistici ed etnoantropologici della Liguria","7"

"Burris","7"

"Cuming Wright-Watson Associates","7"

"D'Alessandri, Fratelli","7"

"Feist, Thomas","7"

"Isabella Stewart Gardner Museum","7"

"Istituto Nazionale per la Grafica","7"

"Lafayette Photography","7"

"Marr, Thomas E.","7"

"Marzullo, Gerardo","7"

"Neurdein","7"

"Pegorini, Oscar","7"

