"photographer","label","worklabels","birth"
"http://www.wikidata.org/entity/Q25939348","Ernst Schwitters","Hanover, Oslo","1918-11-16T00:00:00Z"
"http://www.wikidata.org/entity/Q26242203","Otto Schmidt","Vienna","1849-01-01T00:00:00Z"
"http://www.wikidata.org/entity/Q16164590","Leopoldo Alinari","Rome, Florence, Naples","1832-01-01T00:00:00Z"
"http://www.wikidata.org/entity/Q24239722","Pietro Poppi","Bologna","1833-04-29T00:00:00Z"
"http://www.wikidata.org/entity/Q16867239","Jules Sylvestre","Lyon","1859-10-12T00:00:00Z"
"http://www.wikidata.org/entity/Q16622457","Vittorio Ecclesia","Turin, Aosta Valley","1847-02-11T00:00:00Z"
"http://www.wikidata.org/entity/Q12025975","Josef Ehm","Prague","1909-08-01T00:00:00Z"
"http://www.wikidata.org/entity/Q30308623","Morris Pach","New York City","1837-04-03T00:00:00Z"
"http://www.wikidata.org/entity/Q30308695","Gustavus W. Pach","New York City","1845-06-01T00:00:00Z"
"http://www.wikidata.org/entity/Q30308759","Gotthelf Pach","New York City, Ocean Grove, Long Branch","1852-01-01T00:00:00Z"
"http://www.wikidata.org/entity/Q16632909","Anders Engman","Stockholm","1933-09-21T00:00:00Z"
"http://www.wikidata.org/entity/Q48444861","Marjan Smerke","Ljubljana","1932-01-01T00:00:00Z"
"http://www.wikidata.org/entity/Q3157912","Jacques Ernest Bulloz","Paris","1858-04-20T00:00:00Z"
"http://www.wikidata.org/entity/Q43128341","Mario Castagneri","Milan","1892-01-01T00:00:00Z"
"http://www.wikidata.org/entity/Q51883685","Véra Cardot","Budapest","1920-07-24T00:00:00Z"
"http://www.wikidata.org/entity/Q3441292","Romualdo Moscioni","Rome","1849-03-17T00:00:00Z"
"http://www.wikidata.org/entity/Q3723011","Elio Ciol","Milan, Venice, Friuli-Venezia Giulia, Assisi, Palestine","1929-03-03T00:00:00Z"
"http://www.wikidata.org/entity/Q52156353","Attilio Brisighelli","Udine","1880-01-01T00:00:00Z"
"http://www.wikidata.org/entity/Q59743982","Hans Schiff","New York City","1907-11-07T00:00:00Z"
"http://www.wikidata.org/entity/Q61476278","Gian Battista Colombo","Milan","1921-01-01T00:00:00Z"
"http://www.wikidata.org/entity/Q58242413","Paolo Salviati","Venice","1818-05-23T00:00:00Z"
"http://www.wikidata.org/entity/Q60236397","P. Steensma","Amsterdam","1879-07-18T00:00:00Z"
"http://www.wikidata.org/entity/Q18508633","Romualdo Alinari","Rome, Milan, Florence, Naples","1830-01-01T00:00:00Z"
"http://www.wikidata.org/entity/Q55679892","Julius Scherb","Vienna","1881-01-17T00:00:00Z"
"http://www.wikidata.org/entity/Q60241073","Adam Frequin","The Hague","1883-03-11T00:00:00Z"
"http://www.wikidata.org/entity/Q17350272","Paul Robert","Paris","1866-05-03T00:00:00Z"
"http://www.wikidata.org/entity/Q18169099","Paolo Monti","Milan, Venice","1908-08-11T00:00:00Z"
"http://www.wikidata.org/entity/Q17132342","Joseph Janney Steinmetz","Florida, Philadelphia","1905-01-01T00:00:00Z"
"http://www.wikidata.org/entity/Q17426655","Guglielmo Chiolini","Pavia, Ticino","1900-07-10T00:00:00Z"
